type,question,score5,score4,score3,score2,score1

"SN","Dalam sesi curah pendapat, saya cenderung menghasilkan ide-ide yang praktis dan dapat diterapkan daripada konsep yang imajinatif dan tidak biasa.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"SN","Saya menyelesaikan masalah dengan pendekatan bertahap dan metodis dibandingkan dengan kreativitas dan keterbukaan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"

"TF","Saat membuat keputusan, saya lebih mengutamakan analisis logis dan kriteria objektif daripada mempertimbangkan dampaknya terhadap orang lain dan hubungan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saya menghadapi kritik atau masukan dengan fokus pada fakta dan mencari solusi konstruktif daripada mempertimbangkan aspek emosional dan dampaknya pada hubungan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat menghadapi masalah, saya lebih mengandalkan logika dan alasan daripada empati dan perasaan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saya memprioritaskan tugas dan tanggung jawab berdasarkan logika dan efisiensi dibandingkan dengan nilai dan dampaknya terhadap orang lain.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Dalam pengambilan keputusan kelompok, saya cenderung mendukung pilihan yang paling logis dan rasional daripada yang selaras dengan nilai pribadi dan keharmonisan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat memberikan umpan balik, saya lebih fokus pada analisis objektif daripada mempertimbangkan perasaan dan respons emosional individu.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Dalam debat atau diskusi, saya menyampaikan pendapat dengan menekankan fakta, bukti, dan logika dibandingkan nilai pribadi dan dampak emosional.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat menyelesaikan masalah, saya mengutamakan efisiensi dan efektivitas meskipun harus bersikap blak-blakan daripada mempertimbangkan perasaan pihak terkait.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Di lingkungan kerja, saya lebih menghargai metrik kinerja objektif dan hasil daripada budaya tim yang positif dan suportif.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saya menyelesaikan konflik dengan fokus pada solusi logis dan kompromi daripada memperhatikan kebutuhan emosional dan keharmonisan antar individu.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat merencanakan suatu acara atau proyek, saya lebih memprioritaskan langkah logis dan timeline dibandingkan suasana emosional dan dinamika tim.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Dalam menghadapi stres atau tekanan, saya lebih suka menganalisis situasi secara logis dan menyusun strategi daripada mencari dukungan emosional dan mempertimbangkan dampaknya pada hubungan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat mengambil keputusan, saya lebih mengutamakan data objektif dan analisis daripada nilai pribadi dan dampaknya terhadap orang lain.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"TF","Saat memberikan masukan, saya lebih menekankan kritik konstruktif dan saran perbaikan daripada menyoroti aspek positif dan mendorong individu tersebut.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"

"JP","Saya senang membuat rencana dan lebih suka jadwal yang terstruktur dibandingkan fleksibilitas dan spontanitas.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saat memulai proyek, saya lebih suka memiliki rencana terperinci daripada mengeksplorasi sambil berjalan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saya cenderung bekerja dengan giat untuk menyelesaikan tenggat waktu jauh sebelumnya dibandingkan bekerja di menit-menit terakhir.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saya lebih suka ruang kerja yang jelas dan terorganisir daripada lingkungan kerja yang fleksibel dan adaptif.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saat berkemas untuk bepergian, saya membuat daftar dan merencanakan sebelumnya dibandingkan berkemas secara spontan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saya kurang suka perubahan mendadak dan lebih nyaman dengan rencana awal dibandingkan menyesuaikan diri dengan perubahan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saat menghadapi peluang baru, saya lebih suka mempertimbangkan untung-ruginya terlebih dahulu daripada mengikuti arus.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Dalam menyelesaikan tugas, saya lebih suka mengikuti rencana langkah demi langkah daripada menyesuaikan diri secara fleksibel.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saat mengatur hari saya, saya lebih memilih daftar tugas dengan tenggat waktu daripada membiarkannya terbuka dan spontan.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Saya lebih suka rutinitas dan merasa nyaman dengan prediktabilitas dibandingkan spontanitas dan variasi.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
"JP","Dalam pengambilan keputusan, saya lebih suka segera mengambil keputusan dan lanjut daripada tetap terbuka untuk opsi lain.","0.9|0.2","0.7|0.4","0.5|0.5","0.4|0.7","0.2|0.9"
